Id,short_name,name,region,pop_size,Created at,Updated at
5,AZU,Azul,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
4,AVE,Avellaneda,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
3,AVA,Avalos,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
2,ALM,Almagro,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
1,JUL,9 de Julio,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
,RET-TECO,Retiro TECO,,,
,VCR,Villa Crespo,,,
,SUI,Suipacha,,,
,BVI,Bell Ville,,,
,BZA,Berazategui,,,
,LAB,Laboulaye,,,
,LOR,Rosario San Lorenzo,,,
,ROJ,Rojas,,,
,SPC,San Patricio del Chañar,,,
,SUA,Suarez,,,
,TUE,Venado Tuerto,,,
